,t_on,t_off,stim_id,t_diff
0,10160,13160,12,3000
1,16160,19160,12,3000
2,22160,25160,12,3000
3,28240,31240,11,3000
4,34240,37240,12,3000
5,40320,43320,12,3000
6,46360,49360,12,3000
7,52440,55440,11,3000
8,58520,61520,11,3000
9,64600,67600,12,3000
10,70680,73680,12,3000
11,76680,79680,11,3000
12,82680,85680,11,3000
13,88720,91720,11,3000
14,94760,97760,12,3000
15,100760,103760,11,3000
16,106800,109800,11,3000
17,112840,115840,11,3000
18,118880,121880,12,3000
19,124960,127960,12,3000
20,131040,134040,11,3000
21,137080,140080,11,3000
22,143160,146160,12,3000
23,149160,152160,11,3000
24,155160,158160,11,3000
25,161160,164160,12,3000
26,167240,170240,12,3000
27,173320,176320,12,3000
28,179320,182320,11,3000
29,185320,188320,11,3000
30,191320,194320,12,3000
31,197400,200400,11,3000
32,203400,206400,12,3000
33,209480,212480,12,3000
34,215520,218520,12,3000
35,221520,224520,12,3000
36,227560,230560,11,3000
37,233600,236600,12,3000
38,239640,242640,11,3000
39,245640,248640,12,3000
40,251640,254640,12,3000
41,257720,260720,11,3000
42,263760,266760,11,3000
43,269800,272800,12,3000
44,275840,278840,11,3000
45,281840,284840,11,3000
46,287880,290880,11,3000
47,293880,296880,11,3000
48,299880,302880,11,3000
49,305920,308920,12,3000
50,311920,314920,12,3000
51,318000,321000,12,3000
52,324000,327000,12,3000
53,330080,333080,11,3000
54,336120,339120,12,3000
55,342200,345200,11,3000
56,348240,351240,11,3000
57,354320,357320,12,3000
58,360360,363360,11,3000
59,366440,369440,11,3000
